YearsExperience,Salary
4.17022004702574,48102.409434650304
7.203244934421581,62635.40210611302
0.0011437481734488664,27320.734217519966
3.0233257263183977,45065.97023591638
1.4675589081711304,32868.553146314545
0.923385947687978,35554.59252970826
1.862602113776709,45952.21927732303
3.4556072704304777,50246.212994461726
3.9676747423066994,49071.03150208703
5.3881673400335695,53390.32084382851
4.191945144032948,47971.092545161395
6.852195003967595,71030.79342394897
2.0445224973151745,40425.84350567999
8.781174363909454,71357.88923326985
0.27387593197926163,32133.041598566175
6.704675101784022,71924.39605483548
4.17304802367127,51345.87592828287
5.586898284457517,60403.30386111726
1.4038693859523377,38220.028209585
1.981014890848788,38496.07506826986
8.007445686755366,65467.15564168826
9.682615757193975,77015.70789631836
3.1342417815924284,44835.63197446303
6.923226156693141,66962.62354819449
8.763891522960384,77175.39127029994
8.946066635038473,78454.7415004066
0.8504421136977791,35394.55986950593
0.3905478323288236,35493.30381872703
1.698304195645689,35473.929214241834
8.78142503429413,78918.59779240382
0.983468338330501,36969.06097332454
4.211076250050522,49863.00990984175
9.57889530150502,79848.54909367509
5.331652849730171,56355.97739656663
6.9187711395047335,69120.37324732938
3.1551563100606295,51855.04881599194
6.865009276815837,73067.34801021183
8.346256718973729,66145.2982529161
0.18288277344191806,25137.95864549123
7.501443149449675,65489.35229546257
9.888610889064948,80083.20272311606
7.481656543798394,70912.95840345688
2.804439920644052,45284.73939218668
7.892793284514886,61375.16155927841
1.0322600657764203,33936.48427836861
4.478935261759052,55706.574879224245
9.085955030930956,76350.15409611231
2.9361414837367947,47728.752139932076
2.877753385863487,43499.454358876006
1.3002857211827767,35698.39633019389
